iter	Passed	Remaining
0	164	164258
1	174	87315
2	185	61682
3	196	48998
4	203	40493
5	210	34853
6	219	31180
7	228	28390
8	234	25862
9	240	23851
10	246	22146
11	252	20793
12	259	19712
13	264	18662
14	269	17699
15	274	16874
16	278	16110
17	282	15429
18	287	14819
19	292	14319
20	296	13806
21	299	13322
22	302	12870
23	307	12485
24	310	12117
25	314	11765
26	318	11463
27	321	11168
28	325	10890
29	328	10629
30	332	10385
31	336	10170
32	339	9955
33	343	9751
34	346	9556
35	350	9381
36	354	9231
37	358	9078
38	361	8918
39	365	8766
40	369	8632
41	373	8511
42	376	8383
43	380	8259
44	383	8143
45	387	8039
46	391	7929
47	394	7822
48	397	7722
49	401	7635
50	405	7541
51	408	7451
52	412	7362
53	416	7288
54	420	7217
55	423	7139
56	426	7062
57	431	7010
58	435	6942
59	438	6873
60	442	6803
61	445	6736
62	448	6675
63	452	6613
64	455	6552
65	458	6495
66	462	6439
67	466	6387
68	469	6331
69	472	6280
70	477	6241
71	480	6192
72	483	6143
73	487	6094
74	490	6050
75	495	6024
76	499	5988
77	503	5951
78	507	5918
79	511	5879
80	514	5836
81	517	5796
82	520	5748
83	523	5712
84	527	5674
85	530	5639
86	534	5604
87	537	5569
88	540	5537
89	544	5504
90	547	5471
91	551	5440
92	555	5413
93	558	5383
94	561	5351
95	565	5323
96	569	5303
