ID,F115,F321,F527,F531,F670,F1692,F2082,F2122,F2582,F2678,F2737,F2956,F3043,F3836,F3887,F3889,F3891,F3894,F3924
1,0.53,1.09,1.32,1.12,1.0,1.0,0.0,0.009090909,-0.08,,-0.16,36.0,,29814.53,170,G365D,selfemployed,30.0,0
2,0.3,1.19,0.77,0.76,0.0,0.0,0.0,0.0,-0.25,-0.47,-0.05,99.0,,371320.98,169,G365D,selfemployed,32.0,0
3,0.43,1.25,1.37,1.68,0.0,0.0,0.0,0.0,-0.21,-0.46,0.0,100.0,,546659.78,170,G365D,student,32.0,0
4,0.69,2.02,0.92,1.92,0.0,0.0,0.0,0.0,0.09,-0.46,0.66,56.0,114.0,353339.72,170,G365D,selfemployed,45.0,0
5,0.53,0.78,1.23,0.74,0.0,0.0,0.0,0.0,0.65,-0.42,-0.53,63.0,109.0,1116.11,171,G365D,student,30.0,0
6,0.48,1.12,1.0,1.41,0.0,0.0,0.0,0.0,-0.1,-0.51,-0.11,95.0,,25610.24,169,G365D,selfemployed,50.0,0
7,0.46,1.42,0.97,1.64,0.0,1.0,0.0,0.006097561,-0.04,0.6,-0.01,113.0,,1421618.24,170,G365D,selfemployed,31.0,0
8,0.43,1.16,1.01,0.76,0.0,2.0,0.0,0.75,,0.58,-0.49,139.0,,1000427.0,171,G365D,selfemployed,31.0,0
9,0.45,0.92,1.01,0.75,0.0,0.0,0.0,0.0,0.01,0.38,0.18,118.0,,149622.54,169,G365D,salaried,38.0,0
10,0.43,0.74,1.1,0.74,0.0,0.0,0.0,0.0,-0.12,0.09,0.15,253.0,,670339.43,172,G365D,student,28.0,0
11,0.0,,0.0,,0.0,0.0,0.0,0.0,0.12,0.72,0.26,202.0,,3228810.72,172,G365D,selfemployed,39.0,0
12,0.49,0.84,0.9,0.72,0.0,0.0,0.0,0.0,0.02,-0.31,-0.41,43.0,,189185.54,172,G365D,selfemployed,39.0,0
13,0.6,1.29,1.58,1.01,0.0,2.0,0.0,0.006465517,0.29,-0.37,0.18,62.0,,2898.72,170,G365D,agriculture,44.0,0
14,0.59,0.96,0.87,1.27,0.0,0.0,0.0,0.0,-0.08,0.0,-0.08,24.0,,188015.13,169,G365D,agriculture,35.0,0
15,0.73,1.05,0.99,1.17,0.0,0.0,0.0,0.025641026,-0.06,,-0.19,37.0,,202158.6,169,G365D,student,29.0,0
16,,1.0,,,0.0,0.0,0.033333333,0.0,-0.05,,-0.15,19.0,,15577387.94,168,G365D,student,30.0,0
17,0.32,1.16,0.91,1.64,0.0,1.0,0.0,0.005555556,,,0.0,,4.0,4764082.56,171,G365D,student,40.0,0
18,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.13,-0.15,-0.07,70.0,,150231404.7,170,G365D,student,29.0,0
19,0.54,1.08,1.02,1.43,0.0,0.0,0.0,0.0,,,0.63,38.0,74.0,175444.16,168,G365D,student,23.0,0
20,0.39,0.96,1.32,1.04,0.0,0.0,0.0,0.0,0.18,-0.03,-0.34,195.0,463.0,62072.9,168,G365D,salaried,32.0,0
21,0.33,1.15,1.14,2.35,0.0,0.0,0.0,0.0,-0.23,0.02,-0.04,133.0,,1422081.78,170,G365D,salaried,47.0,0
22,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,,0.47,-0.01,29.0,,5997383.71,168,G365D,selfemployed,29.0,0
23,0.47,0.92,1.09,1.2,0.0,0.0,0.0,0.0,-0.13,-0.36,-0.58,29.0,,5962257.01,170,G365D,housewife,43.0,0
24,0.59,1.33,0.97,2.18,0.0,0.0,0.0,0.0,0.23,,-0.21,31.0,,1317922.25,170,G365D,selfemployed,15.0,0
25,0.25,0.94,1.43,1.01,0.0,0.0,0.0,0.0,0.04,,-0.04,129.0,,8004.31,168,G365D,agriculture,56.0,0
